2453063.75727	11.851	2.213
2453063.80694	7.936	1.133
2453789.78139	-21.048	1.637
2453790.84262	-16.754	1.717
2453866.60643	-17.186	1.859
2453868.64102	-14.208	2.926
2454136.82285	7.869	1.307
2454142.83664	9.768	1.497
2454234.60119	10.154	2.617
2454254.52632	15.368	1.615
2454483.7925	11.613	1.413
2454487.83046	11.163	1.706
2454522.83013	11.477	2.046
2454540.77333	19.097	2.273
2454541.78467	-15.142	11.033
2454556.6603	4.768	1.989
2454557.65078	12.85	2.114
2454558.752	8.154	2.34
2454563.66079	7.987	1.45
2454582.59476	5.564	2.473
2454611.57886	7.917	1.677
2454813.85368	13.098	1.96
2454850.82788	7.401	1.678
2454871.71718	10.086	2.419
2454872.80015	11.06	2.567
2454921.78824	21.605	1.966
2454930.588	11.7	2.208
2454931.6658	13.202	2.084
2455013.52439	8.391	1.891
2455019.4897	5.287	1.761
2455019.49746	3.291	1.772
2455229.78507	-7.607	1.749
2455237.81571	-13.35	1.504
2455247.8219	-12.139	1.868
2455247.90672	-6.883	2.098
2455266.77331	-18.62	1.842
2455293.65302	-9.573	1.915
2455325.57564	-22.605	1.212
2455404.47643	-18.758	1.836
2455588.86816	-28.714	1.03
2455672.63399	-25.529	1.485
2455689.56289	-24.969	1.659
2455695.51915	-23.557	1.121
2455729.47723	-17.689	1.541
2455960.88736	2.784	1.688
2456023.72922	0.352	2.676
2456025.65267	8.32	3.001
2456051.70645	6.093	4.397
2456080.47594	9.663	1.774
2456312.82503	10.308	2.371
2456332.84591	16.432	2.163
2456356.8728	7.599	2.56
2456383.79655	8.993	1.658
2456385.71096	17.089	1.509
2456411.7368	3.829	1.643
2456672.86097	7.448	1.576
2456730.75336	11.829	1.441
2456731.65786	9.002	1.395
2456738.74854	10.539	1.31
2456743.61754	13.56	2.102
2456763.68259	14.32	1.386
2456767.62714	12.903	1.413
2456819.6071	9.885	2.313
2456863.47332	11.187	1.435
2457101.67399	-6.186	1.64
2457147.64728	-10.167	1.163
2457157.64768	-4.526	2.146
2457211.53054	-6.754	3.928
2457219.52163	-6.656	1.711
2457370.86301	-21.13	2.554
2457373.86733	-14.818	1.285
2457413.77595	-18.647	1.289
2457429.80819	-25.011	1.696
2457453.76792	-23.019	0.889
2457454.88371	-20.599	1.285
2457730.8668	-6.709	1.027
2457821.57412	6.077	1.481
2457847.55884	2.58	1.149
2457859.57102	12.419	1.638
2457936.452	11.89	1.437
2458108.86121	15.887	1.797
2458149.80101	14.522	1.638
2458156.81532	21.619	1.407
2458161.81519	15.682	1.563
2458162.79918	8.929	1.626
2458188.73169	17.294	1.551
2458203.74568	18.992	1.515
2458217.70279	15.838	1.53
2458298.57103	13.314	3.332
2458515.82235	20.535	1.387
2458553.68441	15.37	2.453
